title,soldprice_str,mile
2021 Nissan Kicks SV,"$24,588*","83,187 km"
2022 Ford Bronco II Badlands,"$67,990*","10,987 km"
2012 Honda Civic Si,"$6,499*","202,000 km"
2010 Honda Civic 4dr Auto EX-L,"$7,900*","154,000 km"
2012 Land Rover Range Rover Evoque Prestige Premium,"$19,990*","116,918 km"
2011 BMW 5 Series 535i xDrive,"$18,700*","125,523 km"
2014 Hyundai Santa Fe Sport 2.4,"$14,399*","89,950 km"
2018 Ford Focus SE,"$17,495*","57,117 km"
1954 Volkswagen Beetle Type 1,"$23,990*",1 km
2015 Chevrolet Equinox LT AWD  LT w/2LT w/ BACKUP CAMERA  / LEATHER  / SUNROOF,"$22,995*","72,868 km"
"2018 Toyota RAV 4 AWD Limited, Backup Camera, Heated Seats, Sunroof","$32,998*","133,825 km"
2010 Jeep Wrangler Mountain,"$18,750","166,300 km"
2015 Chevrolet Cruze LT,"$3,795*","239,000 km"
2016 Dodge Journey R/T Rallye,"$13,500*","173,570 km"
"2011 Hyundai Sonata GL - Cruise control, Power windows, Power locks","$2,491*","471,173 km"
"2019 Honda Civic LX - Heated seats, Cruise control, Reverse camera","$24,899*","74,342 km"
2017 Lincoln MKC Select,"$21,900*","117,759 km"
2024 Nissan Kicks S FACTORY ORDER - Custom,"$26,957*",New car
1986 Pontiac Trans Am,"$15,500","123,456 km"
2020 Mazda CX-5 GT AWD | Htd Seats | Backup Cam | Bluetooth,"$32,000*","85,843 km"
