Source,Make,Model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
autotrader,Ram,,2022,59999,"51,106 KM",OAKVILLE,2023-11-30,https://www.autotrader.ca/a/ram/1500/oakville/ontario/5_60545613_on20071017095454819/?showcpo=ShowCpo&ncse=no&ursrc=ts&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Land Rover,Discovery,2020,44800,"60,376 KM",NORTH YORK,2023-11-30,https://www.autotrader.ca/a/land%20rover/discovery%20sport/north%20york/ontario/5_60310995_20111115101047209/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=1&urm=8&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Acura,RDX,2022,48495,"12,568 KM",ETOBICOKE,2023-11-30,https://www.autotrader.ca/a/acura/rdx/etobicoke/ontario/5_60463757_on20070924095137494/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=2&urm=8&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Jeep,WRANGLER,2017,30950,"142,438 KM",GEORGETOWN,2023-11-30,https://www.autotrader.ca/a/jeep/wrangler/georgetown/ontario/5_60378248_on20080206114620836/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=3&urm=8&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Audi,S5,2010,15399,"156,574 KM",TORONTO,2023-11-30,https://www.autotrader.ca/a/audi/s5/toronto/ontario/5_59929100_on20071022110342327/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=4&urm=8&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Chevrolet,Corvette,2023,109974,"1,564 KM",NORTH YORK,2023-11-30,https://www.autotrader.ca/a/chevrolet/corvette/north%20york/ontario/5_58966178_20111115101047209/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=5&urm=8&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Toyota,Corolla,2017,18990,"72,000 KM",EAST YORK,2023-11-30,https://www.autotrader.ca/a/toyota/corolla/east%20york/ontario/19_12736663_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=6&urm=8&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Buick,Encore,2019,24990,"35,837 KM",PORT HOPE,2023-11-30,https://www.autotrader.ca/a/buick/encore/port%20hope/ontario/5_60291920_on20070704162935416/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=7&urm=8&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Kia,Rondo,2007,2888,"224,086 KM",TORONTO,2023-11-30,https://www.autotrader.ca/a/kia/rondo/toronto/ontario/5_60275403_on20080611094525059/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=1_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
autotrader,Chevrolet,,2012,3388,"286,385 KM",TORONTO,2023-11-30,https://www.autotrader.ca/a/chevrolet/orlando/toronto/ontario/5_60451897_on20080416105507750/?showcpo=ShowCpo&ncse=no&ursrc=boost_hl&orup=2_15_69896&pc=L1G%200C5&sprx=100,https://tdrpmimages.azureedge.net/photos/import/202311/2200/3023/6bab77f5-1a10-402f-917c-50f148caeb0d.jpg-180x135
