Source,Make,Model,price,mileage,location,listing_date,link_to_buyer
goauto,,,"$26,900","112,000 km",Go Nissan South,2023-11-29,https://www.goauto.ca/vehicles/zztY8rxoQr
goauto,,,"$54,745","75,900 km",Aurora Ford Yellowknife,2023-11-29,https://www.goauto.ca/vehicles/zz8qUPxZvf
goauto,GMC,Acadia,"$14,924","175,000 km",Team Ford,2023-11-29,https://www.goauto.ca/vehicles/zx4kiWxkbJ
goauto,Jeep,Wrangler,"$52,907","21,800 km",Norden Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/zw2UVnnnQj
goauto,,,"$53,998","44,900 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/zve7jpcq5P
goauto,,,"$37,497","138,000 km",Toyota on the Trail,2023-11-29,https://www.goauto.ca/vehicles/zvQFKbKrcD
goauto,Dodge,Charger,"$28,965","98,100 km",Go Richmond Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zvFbQT3jgW
goauto,,,"$129,895","5,530 km",MGM Ford Lincoln Sales Ltd.,2023-11-29,https://www.goauto.ca/vehicles/zuLwModdEt
goauto,Volkswagen,Touareg,"$18,495","111,000 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/zswvWEV5tc
goauto,,,"$28,998","38,300 km",Jaguar Land Rover Calgary,2023-11-29,https://www.goauto.ca/vehicles/zsZAzCqQex
goauto,Porsche,Macan,"$70,995","29,400 km",Porsche Centre Edmonton,2023-11-29,https://www.goauto.ca/vehicles/zsMHQSHVzA
goauto,Ford,Edge,"$38,777","37,100 km",Peace River Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zrhfMHxjaP
goauto,,,"$24,988","61,600 km",Northstar Hyundai,2023-11-29,https://www.goauto.ca/vehicles/zrAu7eq4wx
goauto,Land Rover,Range Rover Evoque,"$28,495","115,000 km",Jaguar Land Rover Edmonton,2023-11-29,https://www.goauto.ca/vehicles/zqeSmwzNro
goauto,Volkswagen,Tiguan,"$19,988","140,000 km",Airdrie Honda,2023-11-29,https://www.goauto.ca/vehicles/zpmAERPF8u
goauto,Volkswagen,Tiguan,"$34,500","69,300 km",Go Auto Outlet Yellowhead,2023-11-29,https://www.goauto.ca/vehicles/zpXRymmwvV
goauto,Land Rover,Range Rover Sport,"$46,497","96,400 km",Volkswagen of Richmond,2023-11-29,https://www.goauto.ca/vehicles/zpPEkTk5iA
goauto,,,"$29,995","48,200 km",Columbia Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zoGaFFxm5K
goauto,Toyota,Prius Prime,"$25,497","143,000 km",Toyota on the Trail,2023-11-29,https://www.goauto.ca/vehicles/zjyf8TTb9Q
goauto,Volkswagen,Atlas Cross Sport,"$46,877","34,600 km",Go Richmond Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zij9ox3cmG
goauto,Toyota,C-HR,"$28,997","65,400 km",Toyota on the Trail,2023-11-29,https://www.goauto.ca/vehicles/zih49P2U2S
goauto,Audi,Q4 e-tron,"$66,997",447 km,Volkswagen of Richmond,2023-11-29,https://www.goauto.ca/vehicles/ziMgwEZ5o4
goauto,Ford,Edge,"$46,995","23,300 km",Aurora Ford Yellowknife,2023-11-29,https://www.goauto.ca/vehicles/zhZmrpRH7i
goauto,Toyota,RAV4,"$51,872","48,400 km",Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/zhZekCrMSg
goauto,Hyundai,Santa Fe Sport,"$24,975","82,300 km",Go Autohaus Volkswagen,2023-11-29,https://www.goauto.ca/vehicles/zhWEPWLmYq
goauto,Hyundai,Elantra,"$27,900","84,200 km",Go Nissan South,2023-11-29,https://www.goauto.ca/vehicles/zgwsrPBmEV
goauto,Hyundai,Santa Fe Sport,"$16,998","142,000 km",Go Honda,2023-11-29,https://www.goauto.ca/vehicles/zgRw6LKKTk
goauto,Audi,Q3,Call for price,"23,200 km",Audi Richmond,2023-11-29,https://www.goauto.ca/vehicles/zfBNztSpMb
goauto,Toyota,Corolla Hatchback,"$26,888","71,200 km",Go Langley Mitsubishi,2023-11-29,https://www.goauto.ca/vehicles/zemnpq9MTx
goauto,BMW,X5,"$32,995","141,000 km",Jaguar Land Rover Richmond,2023-11-29,https://www.goauto.ca/vehicles/zdfgLKJgMK
goauto,Jeep,Cherokee,"$47,286","10,100 km",Go Richmond Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zdbWJpTQEH
goauto,,,"$27,888","46,100 km",Go Langley Subaru,2023-11-29,https://www.goauto.ca/vehicles/zdXaSDoMMp
goauto,Chevrolet,Camaro,"$31,782","47,400 km",Go Dodge Surrey,2023-11-29,https://www.goauto.ca/vehicles/zckqbNMDk6
goauto,,,"$55,747","74,800 km",Kentwood Ford,2023-11-29,https://www.goauto.ca/vehicles/zckDLeCNPj
goauto,Hyundai,Santa Fe,"$12,997","163,000 km",Southtown Hyundai,2023-11-29,https://www.goauto.ca/vehicles/zcUwuQNjkp
goauto,Hyundai,Elantra,"$16,888","156,000 km",Go Richmond Chrysler,2023-11-29,https://www.goauto.ca/vehicles/zcSTE3LuEq
goauto,,,"$24,987","103,000 km",Go Dodge Red Deer,2023-11-29,https://www.goauto.ca/vehicles/zbpqBgxZfG
goauto,BMW,7 Series,"$53,999","58,000 km",Dams Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/zb4YzPvWJQ
goauto,Nissan,Sentra,"$8,999","143,000 km",T&T Honda,2023-11-29,https://www.goauto.ca/vehicles/zacTMdsXHN
goauto,Ford,Mustang,"$35,907","84,000 km",Bavaria BMW,2023-11-29,https://www.goauto.ca/vehicles/zaTjBtbGzs
goauto,Nissan,JUKE,"$20,342","113,000 km",Go Nissan North,2023-11-29,https://www.goauto.ca/vehicles/zZ8so74QES
goauto,Land Rover,Range Rover Sport,"$84,998","47,400 km",Jaguar Land Rover Calgary,2023-11-29,https://www.goauto.ca/vehicles/zYjRRX28UN
goauto,Toyota,Corolla,"$21,216","29,100 km",Go Terrace Ford Lincoln,2023-11-29,https://www.goauto.ca/vehicles/zYUzvKWpEZ
goauto,,,"$17,998","140,000 km",Go Honda,2023-11-29,https://www.goauto.ca/vehicles/zYQjVw9dMJ
goauto,Nissan,370Z,"$23,252","66,400 km",Go Auto Outlet South,2023-11-29,https://www.goauto.ca/vehicles/zY3kS9AHzi
goauto,Land Rover,Range Rover Velar,"$76,495","35,900 km",Jaguar Land Rover Edmonton,2023-11-29,https://www.goauto.ca/vehicles/zXWzaDqR7A
goauto,Hyundai,Santa Fe XL,Call for price,"147,000 km",Go Honda,2023-11-29,https://www.goauto.ca/vehicles/zWzfJLT28X
goauto,Nissan,Rogue,"$25,929","97,500 km",Grove Nissan,2023-11-29,https://www.goauto.ca/vehicles/zWsmmENaZS
goauto,Honda,CR-V,"$39,995","20,000 km",Airdrie Honda,2023-11-29,https://www.goauto.ca/vehicles/zUJcoRbuGD
goauto,Hyundai,Sonata,"$12,999","128,000 km",Peace River Ford,2023-11-29,https://www.goauto.ca/vehicles/zU6XmhsE2n
goauto,,,Call for price,"95,600 km",Go Auto Outlet Yellowhead,2023-11-29,https://www.goauto.ca/vehicles/zSbdH6VmYT
