Source,Make,Model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
kijijiauto,Honda,Civic,2017,9495,292917,"Etobicoke, ON",2023-11-30,https://www.kijijiautos.ca/vip/30768742,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Honda,Pilot,2021,47500,22824,"Whitby, ON",2023-11-30,https://www.kijijiautos.ca/vip/30606812,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Honda,Civic,2012,6499,202000,"Cambridge, ON",2023-11-30,https://www.kijijiautos.ca/vip/30416408,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Honda,Civic,2010,7900,154000,"Woodbridge, ON",2023-11-30,https://www.kijijiautos.ca/vip/30410300,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Hyundai,Santa Fe,2014,14399,89950,"Burlington, ON",2023-11-30,https://www.kijijiautos.ca/vip/30410729,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Ford,Focus,2018,17495,57117,"Stratford, ON",2023-11-30,https://www.kijijiautos.ca/vip/30411072,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Honda,Civic,2022,34995,21460,"Barrie, ON",2023-11-30,https://www.kijijiautos.ca/vip/29209684,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Mercedes-Benz,M,2011,22000,136500,"-, ON",2023-11-30,https://www.kijijiautos.ca/vip/30407875,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Nissan,,2007,44900,105000,"Thornhill, ON",2023-11-30,https://www.kijijiautos.ca/vip/30404831,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
kijijiauto,Hyundai,Tucson,2005,3000,248200,"-, ON",2023-11-30,https://www.kijijiautos.ca/vip/30415816,https://media.kijiji.ca/api/v1/autos-prod-ads/images/ab/ab2617db-d83a-470f-82ab-d33f9a2222a7?rule=move-300-jpg
