source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
goauto,Honda,Civic,2019,26900,112000,Go Nissan South,2023-12-08,https://www.goauto.ca/vehicles/zztY8rxoQr,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/66/PT00543A/ec3of9fqsdtjpng6je03.jpg"
goauto,Ford,,2020,54745,75900,Aurora Ford Yellowknife,2023-12-08,https://www.goauto.ca/vehicles/zz8qUPxZvf,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/5375/23Y4951A/qnpk3vperk8jtgukfmnp.jpg"
goauto,Volkswagen,Tiguan,2021,41784,19700,Go Autohaus Volkswagen,2023-12-08,https://www.goauto.ca/vehicles/zyUfViwiec,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/stock_photos/ofghbxr9znwenpk7yfwh.jpg"
goauto,GMC,Acadia,2014,14987,175000,Team Ford,2023-12-08,https://www.goauto.ca/vehicles/zx4kiWxkbJ,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/71/23LT95830A/wqomsxz0xwazthqiud3i.jpg"
goauto,Jeep,Wrangler,2022,51907,21800,Norden Volkswagen,2023-12-08,https://www.goauto.ca/vehicles/zw2UVnnnQj,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/36/23GH9192B/lnezntta1qtkjz63figz.jpg"
goauto,Audi,A7,2019,52952,44900,Audi Richmond,2023-12-08,https://www.goauto.ca/vehicles/zve7jpcq5P,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/5946/A109017P/ka2tgpym4ft3d57akj1d.jpg"
goauto,Ford,,2023,129895,5530,MGM Ford Lincoln Sales Ltd.,2023-12-08,https://www.goauto.ca/vehicles/zuLwModdEt,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/272/23LT12011A/jbietzj3dcwcpy5q70md.jpg"
goauto,Volkswagen,Touareg,2012,18495,111000,Jaguar Land Rover Richmond,2023-12-08,https://www.goauto.ca/vehicles/zswvWEV5tc,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2250/L1702269Q/dafxgse9nkeinoyby7ld.jpg"
goauto,Porsche,Macan,2022,69995,29400,Porsche Centre Edmonton,2023-12-08,https://www.goauto.ca/vehicles/zsMHQSHVzA,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2987/24CAR7144B/xftfnlzoqbcze8jqweg8.jpg"
goauto,Volkswagen,Golf,2015,21073,99200,Go Autohaus Volkswagen,2023-12-08,https://www.goauto.ca/vehicles/zsEMfsdTTo,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/stock_photos/u6jd2i1p7rc8ht5vzilv.jpg"
goauto,Ford,Edge,2022,38777,37100,Peace River Chrysler,2023-12-08,https://www.goauto.ca/vehicles/zrhfMHxjaP,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2990/PI7266/rjslh7unxcdqp0s7ucyn.jpg"
goauto,Volkswagen,Tiguan,2017,18988,140000,Airdrie Honda,2023-12-08,https://www.goauto.ca/vehicles/zpmAERPF8u,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/5957/24CV6869A/jyqpxzbvsx0bisegskvp.jpg"
goauto,Volkswagen,Tiguan,2021,33987,69300,Go Auto Outlet Yellowhead,2023-12-08,https://www.goauto.ca/vehicles/zpXRymmwvV,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/5755/YW4597/a97daory6qh6wv6lpxv5.jpg"
goauto,Land Rover,Range Rover,2016,46497,96500,Volkswagen of Richmond,2023-12-08,https://www.goauto.ca/vehicles/zpPEkTk5iA,"https://res.cloudinary.com/goauto-images/image/upload/f_auto,c_fill,w_3840,ar_14:9,q_auto/v1/inventory/dealer/2244/PT0461A/nnbwszluwtov6vtcy7cb.jpg"
