source,make,model,year,price,mileage,location,listing_date,link_to_buyer,link_to_image
kijijiauto,Nissan,Pathfinder,2019,24888,158053,"Fort Saskatchewan, AB",2023-12-08,https://www.kijijiautos.ca/vip/30306018,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Volkswagen,Jetta,2022,26095,85804,"Hamilton, ON",2023-12-08,https://www.kijijiautos.ca/vip/30780087,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Honda,Civic,2012,6499,202000,"Cambridge, ON",2023-12-08,https://www.kijijiautos.ca/vip/30416408,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Honda,Civic,2010,7900,154000,"Woodbridge, ON",2023-12-08,https://www.kijijiautos.ca/vip/30410300,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Land Rover,Range Rover,2012,19990,116918,"Regina, SK",2023-12-08,https://www.kijijiautos.ca/vip/30409735,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,BMW,5 Series,2011,18700,125523,"Calgary, AB",2023-12-08,https://www.kijijiautos.ca/vip/30409016,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Hyundai,Santa Fe,2014,13999,89950,"Burlington, ON",2023-12-08,https://www.kijijiautos.ca/vip/30410729,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Ford,Focus,2018,17395,57117,"Stratford, ON",2023-12-08,https://www.kijijiautos.ca/vip/30411072,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Volkswagen,Beetle,,23990,1,"Saskatoon, SK",2023-12-08,https://www.kijijiautos.ca/vip/30415000,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Subaru,Forester,2017,18995,139192,"Lévis, QC",2023-12-08,https://www.kijijiautos.ca/vip/30410655,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Chevrolet,Impala,,42995,10177,"Vaudreuil-Dorion, QC",2023-12-08,https://www.kijijiautos.ca/vip/29515692,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Toyota,Prius,2018,24933,31779,"Québec City, QC",2023-12-08,https://www.kijijiautos.ca/vip/30580929,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Chevrolet,Equinox,2015,22995,72868,"Calgary, AB",2023-12-08,https://www.kijijiautos.ca/vip/30416432,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Chevrolet,Cruze,2015,3795,239000,"Saint-Hubert, QC",2023-12-08,https://www.kijijiautos.ca/vip/30413769,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Dodge,Journey,2016,13500,173570,"Lethbridge, AB",2023-12-08,https://www.kijijiautos.ca/vip/30407321,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Honda,Civic,2019,23399,74342,"Coldbrook, NS",2023-12-08,https://www.kijijiautos.ca/vip/30394427,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Lincoln,MKC,2017,21900,117759,"Lower Sackville, NS",2023-12-08,https://www.kijijiautos.ca/vip/30389595,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Pontiac,,,15500,123456,"-, MB",2023-12-08,https://www.kijijiautos.ca/vip/30407949,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Mazda,CX-5,2020,32000,85843,"Winnipeg, MB",2023-12-08,https://www.kijijiautos.ca/vip/30368895,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Chevrolet,Blazer,2020,36999,39285,"Milton, ON",2023-12-08,https://www.kijijiautos.ca/vip/30159260,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Dodge,Charger,2018,23995,143772,"Guelph, ON",2023-12-08,https://www.kijijiautos.ca/vip/30897761,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,BMW,4 Series,2018,37975,64819,"Laval, QC",2023-12-08,https://www.kijijiautos.ca/vip/30367020,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Honda,Civic,2020,24991,83078,"Winnipeg, MB",2023-12-08,https://www.kijijiautos.ca/vip/30351202,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Nissan,Murano,2018,29077,141057,"Swift Current, SK",2023-12-08,https://www.kijijiautos.ca/vip/29053519,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Chevrolet,Trax,2014,13444,137471,"Moncton, NB",2023-12-08,https://www.kijijiautos.ca/vip/30349548,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,RAM,,2020,49900,48868,"London, ON",2023-12-08,https://www.kijijiautos.ca/vip/29365839,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Dodge,,2012,12995,155029,"London, ON",2023-12-08,https://www.kijijiautos.ca/vip/30286415,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,BMW,3 Series,2016,23984,113176,"Cowansville, QC",2023-12-08,https://www.kijijiautos.ca/vip/30393528,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
kijijiauto,Hyundai,Palisade,2020,39705,151371,"Grande Prairie, AB",2023-12-08,https://www.kijijiautos.ca/vip/30382254,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c8/c8cb751c-c314-4108-b4fd-03d3daa71e7f?rule=move-300-jpg
